# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
du lei si 	杜蕾斯	c=1 d=1 t=350988
du li 	獨立	c=14 d=1.02625 t=328492
du liang 	度量	c=2 d=1.97045 t=56045
du qi 	肚臍	c=1 d=1 t=298582
du qu 	讀取	c=9 d=1.34301 t=318343
du shi 	都市	c=2 d=1 t=213454
du shou 	毒手	c=1 d=1 t=156295
du shu 	讀書	c=4 d=1 t=337106
du te 	獨特	c=1 d=1 t=132309
du wu 	讀物	c=1 d=1 t=79969
du xian 	獨顯	c=1 d=1 t=194441
du xie 	讀寫	c=3 d=1 t=323147
du ye 	毒液	c=1 d=1 t=335708
du you 	獨有	c=1 d=1 t=232152
du zhan 	獨佔	c=1 d=1 t=134501
du zhe 	讀着	c=1 d=1 t=167431
du zi 	肚子	c=55 d=1 t=342718
du zi le 	肚子了	c=1 d=1 t=52781
du zi teng 	肚子疼	c=1 d=0.1 t=80352
du zi teng ma 	肚子疼嗎	c=1 d=1 t=80353
duan 	斷	c=15 d=1 t=332167
duan 	段	c=8 d=1 t=301717
duan 	短	c=19 d=1 t=283860
duan 	端	c=164 d=1 t=348917
duan dian 	斷電	c=2 d=1 t=159063
duan dian 	斷點	c=1 d=1 t=73682
duan duan 	斷斷	c=1 d=1 t=94711
duan duan de 	短短的	c=1 d=1 t=68440
duan duan xu xu 	斷斷續續	c=2 d=1.82283 t=94697
duan ge 	斷個	c=1 d=1 t=248881
duan kou 	端口	c=28 d=1 t=337058
duan ku 	短褲	c=3 d=1 t=152049
duan le 	斷了	c=2 d=1 t=92908
duan lian 	鍛鍊	c=26 d=0.1 t=312506
duan lian duan lian 	鍛鍊鍛鍊	c=1 d=1 t=257046
duan lian jie 	短鏈接	c=1 d=1 t=134187
duan lian xia 	鍛鍊下	c=1 d=1 t=245642
duan lu 	短路	c=1 d=1 t=21260
duan ping kuai 	短平快	c=2 d=1 t=321625
duan qi 	短期	c=3 d=1 t=255237
duan wu 	端午	c=1 d=1 t=116612
duan wu jie 	端午節	c=2 d=1 t=113501
duan xi 	斷席	c=2 d=1 t=298940
duan xian 	短線	c=2 d=1 t=232442
duan xin 	短信	c=75 d=1.91393 t=350699
duan yan 	斷言	c=1 d=1 t=102871
duan you 	段友	c=1 d=0.833447 t=53714
duan you 	端由	c=1 d=1 t=50260
duan zan 	短暫	c=4 d=1 t=309494
duan zhang qu yi 	斷章取義	c=1 d=1 t=505
duan zi jue sun 	斷子絕孫	c=1 d=1 t=61993
dui 	堆	c=3 d=1 t=314423
dui 	對	c=347 d=1 t=352789
dui 	懟	c=7 d=1 t=333831
dui 	隊	c=12 d=1 t=299841
dui bi 	對比	c=10 d=1.97045 t=276387
dui bu dui 	對不對	c=6 d=1 t=325052
dui bu qi 	對不起	c=2 d=1 t=82378
dui bu shang 	對不上	c=14 d=1.65051 t=321422
dui chan pin 	對產品	c=1 d=1 t=100630
dui chen 	對稱	c=1 d=1 t=188451
dui chong 	對衝	c=1 d=1 t=149195
dui de 	對的	c=13 d=1 t=344553
dui dui 	對對	c=26 d=1 t=339008
dui dui dui 	對對對	c=1 d=1 t=324727
dui e le 	對餓了	c=1 d=1 t=77821
dui fang 	對方	c=99 d=1 t=352449
dui fang chu 	對方出	c=1 d=1 t=298662
dui fang shuo 	對方說	c=1 d=1 t=157593
dui fang you 	對方有	c=1 d=1 t=212923
dui gong qi 	對工期	c=1 d=1 t=107203
dui gong si 	對公司	c=1 d=1 t=105522
dui hao 	對號	c=1 d=1 t=85845
dui hou xu 	對後續	c=1 d=1 t=329169
dui hua 	對話	c=2 d=1.30728 t=95513
dui hua kuang 	對話框	c=1 d=1 t=203227
dui huan 	兌換	c=2 d=1 t=121154
dui jia 	對價	c=1 d=1 t=319669
dui jiang 	兌獎	c=1 d=1 t=225474
dui jiao xian 	對角線	c=1 d=1 t=250115
dui jie 	對接	c=137 d=1.00017 t=351791
dui jie de 	對接的	c=2 d=1 t=317002
dui jie fan ying 	對接反應	c=1 d=1 t=8938
dui jie ren 	對接人	c=1 d=1 t=28208
dui jin er 	對勁兒	c=1 d=1 t=179660
dui jue 	對決	c=1 d=1 t=118473
dui kai ji 	對開機	c=1 d=1 t=160458
dui kou 	對口	c=1 d=1 t=58882
dui le 	對了	c=106 d=1 t=346744
dui lian 	對聯	c=1 d=1 t=28836
dui liu 	對流	c=1 d=1 t=100841
dui ma 	對嗎	c=4 d=1 t=332639
dui mei ge 	對每個	c=2 d=1 t=307329
dui men dian 	對門店	c=1 d=1 t=170955
dui mian 	對面	c=4 d=1 t=317674
dui nei 	對內	c=3 d=1 t=268094
dui ni 	對你	c=6 d=1 t=334903
dui ni men 	對你們	c=1 d=1 t=31613
dui nin 	對您	c=1 d=1 t=84297
dui qi 	對其	c=1 d=1 t=112777
dui qi ta 	對其他	c=1 d=1 t=103708
dui san fang 	對三方	c=1 d=1 t=49246
dui shang 	對上	c=2 d=1.22091 t=321537
dui shao 	對少	c=2 d=1 t=278576
dui shei 	對誰	c=1 d=1 t=122755
dui shi 	對事	c=1 d=1 t=97573
dui shi 	對時	c=3 d=1 t=310500
dui shou 	對手	c=3 d=0.1 t=292608
dui shou qing kuang 	對手情況	c=1 d=1 t=292609
dui ta 	對他	c=1 d=1 t=167813
dui wai 	對外	c=64 d=1 t=324123
dui wai de 	對外的	c=1 d=1 t=180508
dui wai fu wu 	對外服務	c=1 d=1 t=146733
dui wai tui guang 	對外推廣	c=1 d=1 t=178230
dui wei 	對爲	c=1 d=1 t=334820
dui wen dang 	對文檔	c=1 d=1 t=155900
dui wo 	對我	c=6 d=1 t=202530
dui wo men 	對我們	c=7 d=1 t=334703
dui wu 	隊伍	c=0 d=0.1 t=161637
dui wu bu hao 	隊伍不好	c=1 d=1 t=161638
dui xia 	對蝦	c=1 d=1 t=149252
dui xian 	兌現	c=2 d=1 t=348448
dui xiang 	對象	c=3 d=1 t=295244
dui xu qiu 	對需求	c=1 d=1 t=155858
dui xue li 	對學歷	c=1 d=1 t=124013
dui yi bian 	對一遍	c=1 d=1 t=170494
dui yi ge 	對一個	c=1 d=1 t=168970
dui yi hou 	對以後	c=1 d=1 t=13377
dui yi xia 	對一下	c=1 d=1 t=321172
dui yin 	對飲	c=2 d=1 t=279041
dui ying 	對應	c=148 d=2.67996 t=344909
dui ying bu shang 	對應不上	c=2 d=1 t=252802
dui ying dao 	對應到	c=6 d=1 t=278868
dui ying de 	對應的	c=1 d=1 t=172315
dui ying le 	對應了	c=1 d=1 t=286212
dui ying shang 	對應上	c=2 d=1 t=309007
dui ying xia 	對應下	c=1 d=1 t=56599
dui yong hu 	對用戶	c=1 d=1 t=90177
dui yu 	對於	c=56 d=1.00015 t=348716
dui yuan 	隊員	c=3 d=1 t=251628
dui yue 	對月	c=1 d=1 t=223420
dui zai 	懟在	c=1 d=1 t=305737
dui zhang 	對賬	c=2 d=1 t=280259
dui zhao 	對照	c=1 d=1.099 t=191223
dui zhe 	對着	c=2 d=1 t=193643
dui zhe ge 	對這個	c=1 d=1 t=29538
dui zheng 	對症	c=1 d=1 t=174178
dui zi 	對子	c=1 d=1 t=225520
dun 	燉	c=16 d=1 t=194402
dun 	蹲	c=7 d=1 t=334433
dun 	頓	c=6 d=1 t=342009
dun de 	燉的	c=1 d=1 t=113883
dun huang 	敦煌	c=4 d=1.74453 t=134002
dun le 	燉了	c=1 d=1 t=134105
dun le 	頓了	c=1 d=1 t=69698
dun rou 	燉肉	c=1 d=1 t=176279
dun wu 	頓悟	c=2 d=1.99005 t=212781
dun zhe 	蹲着	c=1 d=1 t=59333
duo 	多	c=505 d=1.05808 t=352780
duo 	朵	c=4 d=1 t=345894
duo 	舵	c=2 d=1.96561 t=349862
duo 	躲	c=1 d=1 t=56192
duo ba 	多吧	c=1 d=1 t=41599
duo ban 	多半	c=4 d=1 t=310398
duo ban ben 	多半本	c=4 d=1 t=142301
duo ban ben de 	多版本的	c=1 d=1 t=27837
duo bi 	躲避	c=2 d=1.68045 t=330042
duo biao zhun 	多標準	c=2 d=1.0299 t=132145
duo bu 	多部	c=2 d=1 t=208457
duo bu an quan 	多不安全	c=1 d=1 t=114329
duo bu hao 	多不好	c=1 d=1 t=56220
duo can yu 	多參與	c=1 d=1 t=90162
duo ceng 	多層	c=1 d=1 t=311998
duo chang 	多長	c=14 d=1 t=327939
duo chang shi jian 	多長時間	c=6 d=1 t=305680
duo chao 	多炒	c=1 d=1 t=35614
duo chi 	多吃	c=9 d=1 t=177766
duo chi dian 	多吃點	c=7 d=1 t=207863
duo chuan 	多穿	c=2 d=1 t=196470
duo chuan dian 	多穿點	c=4 d=1 t=213095
duo ci 	多次	c=6 d=1 t=338482
duo cong 	多從	c=1 d=1 t=109060
duo da 	多大	c=21 d=1 t=348814
duo da 	多打	c=2 d=1.12745 t=59055
duo da ren 	多打人	c=1 d=1 t=208101
duo dan dai 	多擔待	c=1 d=1 t=291192
duo de 	多得	c=1 d=1 t=340144
duo de 	多的	c=2 d=1 t=130789
duo di 	墮地	c=1 d=1 t=325716
duo dian 	多點	c=10 d=1 t=298187
duo duan 	多端	c=1 d=1 t=232318
duo duo 	多多	c=20 d=1 t=318691
duo duo de 	多多的	c=1 d=1 t=104127
duo fang 	多放	c=4 d=1 t=327627
duo fang 	多方	c=1 d=1 t=165665
duo gan 	多幹	c=1 d=1 t=13373
duo gan ga 	多尷尬	c=2 d=1 t=233452
duo gao 	多高	c=2 d=1 t=107927
duo ge 	多個	c=47 d=1 t=336138
duo ge ren 	多個人	c=1 d=1 t=198088
duo ge she bei 	多個設備	c=1 d=1 t=103382
duo gei 	多給	c=1 d=1 t=2051
duo gou tong 	多溝通	c=1 d=1 t=94238
duo hang ye 	多行業	c=2 d=1.24537 t=312016
duo hao 	多好	c=23 d=1 t=342124
duo hao kan 	多好看	c=1 d=1 t=41218
duo hao wan 	多好玩	c=1 d=1 t=72290
duo he 	多喝	c=7 d=1 t=335556
duo ji 	多級	c=3 d=1.94324 t=146588
duo jia 	多家	c=3 d=1 t=322181
duo jiao 	跺腳	c=1 d=1 t=1021
duo jiu 	多久	c=39 d=1.00004 t=338289
duo kan 	多看	c=1 d=1 t=65510
duo kan kan 	多看看	c=1 d=1 t=74603
duo kui 	多虧	c=2 d=1 t=269330
duo le 	多了	c=30 d=1 t=342156
duo leng 	多冷	c=1 d=1 t=179606
duo lian 	多連	c=1 d=1 t=108364
duo liao jie 	多瞭解	c=1 d=1 t=128537
duo lun 	多輪	c=1 d=1 t=96108
duo ma 	多瑪	c=2 d=1 t=126261
duo ma fan 	多麻煩	c=1 d=1 t=71647
duo mai 	多買	c=3 d=1 t=322963
duo man fen 	多滿分	c=1 d=1 t=192276
duo mei 	多美	c=1 d=1 t=204972
duo nan 	多難	c=0 d=0.1 t=66280
duo nan chi 	多難吃	c=1 d=1 t=66281
duo ni na 	多你那	c=1 d=1 t=62046
duo nian 	多年	c=11 d=1 t=334858
duo pa 	多怕	c=1 d=1 t=346909
duo qi guai 	多奇怪	c=1 d=1 t=169055
duo qi lai 	躲起來	c=1 d=1 t=299456
duo ren 	多人	c=8 d=1 t=292539
duo sha 	多殺	c=3 d=1 t=314015
duo shang 	多上	c=1 d=1 t=180947
duo shao 	多少	c=208 d=1.83424 t=352839
duo shao ci 	多少次	c=2 d=1.99005 t=162622
duo shao du 	多少度	c=1 d=1 t=38979
duo shao fen 	多少分	c=2 d=1 t=293352
duo shao ge 	多少個	c=1 d=1 t=247494
duo shao gui 	多少龜	c=1 d=1 t=299529
duo shao hai shi 	多少還是	c=1 d=1 t=233441
duo shao jia dian 	多少加點	c=1 d=1 t=312173
duo shao nian 	多少年	c=1 d=1 t=277492
duo shao qian 	多少錢	c=44 d=1.00008 t=349522
duo shao qin 	多少親	c=1 d=1 t=3129
duo shao ren 	多少人	c=8 d=1 t=293783
duo shao tai 	多少太	c=1 d=1 t=324090
duo shao tiao 	多少條	c=1 d=1 t=278598
duo she bei 	多設備	c=1 d=1 t=164876
duo shi 	多是	c=1 d=1 t=349238
duo shu 	多數	c=1 d=1 t=129856
duo shu fu 	多舒服	c=1 d=1 t=176644
duo shui 	多睡	c=0 d=0.1 t=121845
duo shui jiao 	多睡覺	c=1 d=1 t=238559
duo shui le 	多睡了	c=1 d=1 t=121846
duo suo 	哆嗦	c=1 d=1 t=35783
duo tan 	多談	c=1 d=1 t=233384
duo te 	多特	c=1 d=1 t=281415
duo ti 	多提	c=1 d=1 t=107509
duo tian 	多天	c=1 d=1 t=341831
duo tiao 	多條	c=1 d=1 t=207262
duo ting 	多聽	c=1 d=1 t=269173
duo wan 	多萬	c=2 d=1 t=324211
duo wei xian 	多危險	c=1 d=1 t=213581
duo wen 	多問	c=1 d=1 t=15544
duo wen jian 	多文件	c=1 d=1 t=213137
duo xi 	多洗	c=1 d=1 t=9431
duo xiang 	多項	c=2 d=1 t=267051
duo xie 	多寫	c=1 d=1 t=253545
duo xie 	多謝	c=64 d=1 t=352421
duo xiu xi 	多休息	c=1 d=1 t=87471
duo xuan 	多選	c=5 d=2.69664 t=328932
duo xue 	多學	c=1 d=1 t=179957
duo yang 	多樣	c=1 d=1 t=304787
duo ye 	多頁	c=1 d=1 t=166032
duo yi dian 	多一點	c=1 d=1 t=40931
duo yi tian 	多一天	c=1 d=1 t=293588
duo yi xie 	多一些	c=3 d=1 t=121822
duo yong 	多用	c=1 d=1 t=191173
duo you 	多有	c=1 d=1 t=261514
duo you xiao 	多有效	c=1 d=1 t=9355
duo yu 	多餘	c=6 d=1 t=205469
duo yu yan 	多語言	c=1 d=1 t=251471
duo yuan 	多元	c=1 d=1 t=135267
duo yue 	多月	c=2 d=1 t=105991
duo zhao 	多招	c=1 d=1 t=233904
duo zhi guan 	多直觀	c=1 d=1 t=122276
duo zhi jie 	多直接	c=1 d=1 t=9356
duo zhong 	多種	c=7 d=1 t=276195
duo zhong lei 	多種類	c=1 d=1 t=280355
duo zhong yao 	多重要	c=1 d=1 t=310493
duo zhu yi 	多注意	c=2 d=1 t=215604
duo zhun 	多準	c=1 d=1 t=70410
duo zu hu 	多租戶	c=2 d=1 t=15800
e 	俄	c=2 d=1.28794 t=25774
e 	呃	c=5 d=1.39862 t=214338
e 	餓	c=124 d=1.02678 t=338917
e 	鵝	c=3 d=1 t=234519
e bu e 	餓不餓	c=18 d=1.00022 t=96223
e bu si 	餓不死	c=1 d=1 t=213588
e dao 	惡道	c=1 d=1 t=89037
e de 	餓得	c=3 d=1 t=144537
e du 	額度	c=12 d=1 t=230119
e huai 	餓壞	c=1 d=1 t=67214
e ji 	惡極	c=0 d=0.1 t=63562
e jing 	扼頸	c=0 d=0.1 t=173132
e ke bu 	餓可不	c=1 d=1 t=43274
e ke nuo 	餓可諾	c=1 d=1 t=12059
e ke yi 	餓可以	c=3 d=1 t=214518
e le 	餓了	c=98 d=1 t=329254
e le ma 	餓了嗎	c=2 d=1 t=266420
e luo si 	俄羅斯	c=6 d=1 t=80116
e mi you 	餓密友	c=1 d=1 t=52885
e ne 	餓呢	c=2 d=1 t=167667
e ne en 	餓呢嗯	c=1 d=1 t=121055
e o 	呃喔	c=1 d=1 t=281521
e pian 	萼片	c=0 d=0.1 t=241156
e pian na ge 	萼片那個	c=1 d=1 t=241157
e ren 	惡人	c=3 d=1 t=204339
e ren 	訛人	c=1 d=1 t=96569
e shi 	俄式	c=1 d=1 t=104306
e shou 	餓瘦	c=1 d=1 t=89025
e wai 	額外	c=6 d=1 t=346166
e wen jian 	餓文件	c=1 d=1 t=17986
e wu 	訛誤	c=1 d=1 t=153527
e xin 	噁心	c=7 d=1 t=241135
e xin ren 	噁心人	c=1 d=1 t=132516
e yao shi 	餓要是	c=1 d=1 t=208671
e yi 	惡意	c=2 d=1.91851 t=339732
e yi dai ma 	惡意代碼	c=1 d=1 t=339852
e yu 	俄語	c=1 d=1 t=25520
e yu 	鱷魚	c=2 d=1 t=326923
e yun 	厄運	c=1 d=1 t=216700
e zhe 	餓着	c=4 d=1 t=210758
eh 	誒	c=1 d=1 t=312107
ei 	誒	c=2 d=0.1 t=303061
ei you 	誒有	c=1 d=1 t=60105
en 	嗯	c=58 d=1 t=350631
en 	恩	c=8 d=0.500497 t=327388
en en 	嗯嗯	c=1000 d=1.03588 t=352396
en en e 	嗯嗯餓	c=5 d=1 t=255543
en me 	恩麼	c=1 d=0.1 t=75903
en na 	恩納	c=14 d=1.00905 t=300046
en na ge 	嗯那個	c=1 d=0.1 t=158622
en ne 	恩呢	c=5 d=1 t=218250
eng 	嗯	c=1 d=1 t=213265
eng ji 	嗯雞	c=1 d=1 t=81448
eng ne 	嗯呢	c=2 d=1 t=223231
eng yun 	嗯雲	c=1 d=1 t=229726
er 	二	c=28 d=1.99501 t=339650
er 	兒	c=54 d=1 t=352538
er 	爾	c=11 d=1 t=346722
er 	而	c=19 d=1 t=322110
er 	耳	c=1 d=1 t=111754
er ba 	二八	c=1 d=1 t=324481
er bi hou 	耳鼻喉	c=1 d=1 t=250756
er bu shi 	而不是	c=3 d=1 t=224854
er ceng 	二層	c=1 d=1 t=132709
er ci 	二次	c=12 d=1 t=302407
er ci kai fa 	二次開發	c=3 d=1 t=249308
er dai 	二代	c=1 d=1 t=251793
er dao fan zi 	二道販子	c=1 d=1 t=269759
er deng 	二等	c=0 d=0.1 t=132569
er deng ren 	二等人	c=1 d=1 t=132570
er duo 	耳朵	c=6 d=1 t=330118
er ge 	二哥	c=7 d=1.74826 t=181351
er he yi 	二合一	c=1 d=1 t=88799
er huan 	二環	c=1 d=1 t=310163
er ji 	二級	c=24 d=2.40616 t=338335
er ji 	耳機	c=19 d=1 t=257739
er ji du 	二季度	c=1 d=1 t=327716
er ji fen xiang 	二級分享	c=1 d=1 t=55805
er ji fen xiao 	二級分銷	c=1 d=1 t=112683
er lai 	而來	c=1 d=1 t=54544
er lang tui 	二郎腿	c=2 d=1.89137 t=188213
er mian 	二麪	c=1 d=1 t=124287
er ni 	而你	c=1 d=0.1 t=219461
er nv 	兒女	c=0 d=0.1 t=42215
er qi 	二期	c=7 d=1.93239 t=199466
er qie 	而且	c=138 d=1.00006 t=351757
er qie dei 	而且得	c=1 d=1 t=299897
er qie ei 	而且誒	c=3 d=1 t=320106
er qie shi 	而且是	c=1 d=1 t=276560
er qie wo 	而且我	c=1 d=1 t=37574
er qie zhe 	而且這	c=1 d=1 t=107371
er qu 	二區	c=6 d=1.94649 t=351155
er sai 	耳塞	c=1 d=1 t=275921
er shi 	二十	c=5 d=1 t=285920
er shi 	二是	c=2 d=1 t=70643
er shi 	而是	c=1 d=1 t=45631
er shi san 	二十三	c=1 d=1 t=225514
er shi wu 	二十五	c=1 d=1 t=32793
er shou 	二手	c=4 d=1.98043 t=352058
er shou de 	二手的	c=2 d=1.93239 t=63427
er tai 	二胎	c=1 d=1 t=340211
er tong 	兒童	c=2 d=1 t=339628
er tong jie 	兒童節	c=2 d=1.94649 t=107878
er tui 	而退	c=1 d=1 t=135831
er wei 	二位	c=1 d=0.1 t=159280
er wei ma 	二維碼	c=104 d=1 t=325099
er wei wei ma 	二位魏瑪	c=1 d=1 t=159281
er xia 	而下	c=1 d=1 t=132649
er yang hua tan 	二氧化碳	c=1 d=1 t=345840
er yi 	而已	c=8 d=1 t=345302
er yi bu yong 	而已不用	c=1 d=1 t=98700
er you 	而有	c=1 d=1 t=97174
er yue 	二月	c=1 d=1 t=30151
er yun 	二運	c=1 d=1 t=337100
er zi 	兒子	c=10 d=1 t=334213
fa 	乏	c=1 d=1 t=122279
fa 	法	c=34 d=1 t=347772
fa 	發	c=270 d=1.60177 t=352070
fa ba 	發吧	c=4 d=1.8825 t=347894
fa bi 	法幣	c=2 d=1 t=294476
fa bi ya na 	法比亞娜	c=1 d=1 t=14925
fa biao 	發表	c=9 d=0.1 t=340183
fa biao xia 	發表下	c=1 d=1 t=340184
fa bu 	發佈	c=56 d=1 t=351690
fa bu ba 	發佈吧	c=1 d=1 t=236230
fa bu chu 	發不出	c=2 d=1 t=180503
fa bu chu lai 	發不出來	c=1 d=1 t=275259
fa bu guo 	發不過	c=2 d=1 t=174402
fa bu hui 	發佈會	c=1 d=1 t=949
fa bu liao 	發不了	c=2 d=1 t=309524
fa bu ri qi 	發佈日期	c=1 d=1 t=80709
fa bu shang pin 	發佈商品	c=1 d=1 t=136680
fa bu zhi xing 	發佈執行	c=1 d=1 t=216972
fa cheng 	發成	c=1 d=1 t=89770
fa chou 	發愁	c=3 d=1.09501 t=201195
fa chu 	發出	c=5 d=1 t=301362
fa chu lai 	發出來	c=10 d=1 t=325153
fa chu le 	發出了	c=2 d=1 t=275350
fa chu qu 	發出去	c=7 d=1 t=275218
fa cuo 	發錯	c=9 d=1 t=273488
fa cuo le 	發錯了	c=4 d=1 t=89665
fa cuo qun 	發錯羣	c=1 d=1 t=170013
fa da 	法大	c=1 d=1 t=244488
fa da da 	法大大	c=2 d=1.74826 t=326834
fa dao 	發到	c=18 d=1 t=313232
fa dao qun 	發到羣	c=1 d=1 t=252024
fa dao qun li 	發到羣裏	c=2 d=1 t=241923
fa de 	發的	c=79 d=1.8311 t=345170
fa de na ge 	發的那個	c=1 d=1 t=1177
fa ding 	法定	c=1 d=1 t=228641
fa dong ji 	發動機	c=2 d=1.83527 t=154880
fa duan xin 	發短信	c=1 d=1 t=274860
fa duo shao 	發多少	c=1 d=1 t=38325
fa fa 	發發	c=22 d=1 t=335386
fa fang 	發放	c=7 d=2.86951 t=225068
fa fen 	發奮	c=2 d=1 t=213905
fa ge 	發個	c=37 d=0.1 t=350130
fa gei 	發給	c=93 d=1.00005 t=349270
fa gei dui fang 	發給對方	c=1 d=1 t=344075
fa gei guo 	發給過	c=5 d=1 t=250014
fa gei guo wo 	發給過我	c=1 d=1 t=119373
fa gei le 	發給了	c=1 d=1 t=223079
fa gei ni 	發給你	c=37 d=1 t=321724
fa gei nin 	法給您	c=2 d=1 t=277619
fa gei shei 	發給誰	c=2 d=1 t=82608
fa gei ta 	發給他	c=9 d=1.00095 t=255879
fa gei wo 	發給我	c=98 d=1 t=320339
fa gei wo de 	發給我的	c=1 d=1 t=73813
fa gei wo le 	發給我了	c=1 d=1 t=35640
fa gei wo men 	發給我們	c=5 d=1 t=308862
fa guang 	發光	c=1 d=1 t=223225
fa gun 	法棍	c=9 d=1 t=153243
fa gun er 	法棍兒	c=1 d=1 t=94400
fa guo 	法國	c=1 d=1 t=290954
fa guo 	發過	c=13 d=1 t=339294
fa guo la 	發過拉	c=1 d=1 t=95678
fa guo lai 	發過來	c=18 d=1 t=344805
fa guo lai de 	發過來的	c=1 d=1 t=307458
fa guo qu 	發過去	c=10 d=1 t=352450
fa guo yi ge 	發過一個	c=1 d=1 t=69318
fa hong bao 	發紅包	c=1 d=1 t=311390
fa hua 	發話	c=1 d=1 t=267905
fa hui 	發揮	c=4 d=0.1 t=325149
fa hui le 	發揮了	c=2 d=1 t=209236
fa huo 	發貨	c=132 d=1.02014 t=351603
fa huo dan 	發貨單	c=10 d=1.04076 t=299933
fa huo dao 	發貨到	c=2 d=1.92312 t=269096
fa huo de 	發貨的	c=1 d=1 t=281405
fa huo le 	發貨了	c=2 d=1 t=327178
fa huo qian 	發貨前	c=1 d=1 t=242651
fa huo wu 	發貨無	c=1 d=1 t=269061
fa huo zhe qian 	發貨這簽	c=1 d=1 t=307574
fa ji ge 	發幾個	c=1 d=1 t=294378
fa jia zhi fu 	發家致富	c=1 d=1 t=299596
fa jian ren 	發件人	c=1 d=1 t=300270
fa jiao 	發酵	c=1 d=1 t=60515
fa juan 	髮捲	c=1 d=1 t=351685
fa jue 	發掘	c=1 d=1 t=259387
fa jue 	發覺	c=3 d=1 t=266078
fa kuan 	罰款	c=1 d=1 t=330650
fa kui 	發虧	c=4 d=1 t=291901
fa la li 	法拉利	c=1 d=1 t=2450
fa lai 	發來	c=2 d=1 t=317005
fa lai de 	發來的	c=1 d=1 t=252627
fa lan 	法蘭	c=3 d=1.32652 t=202660
fa lan ke fu 	法蘭克福	c=3 d=2.13653 t=202666
fa le 	發了	c=64 d=1.0293 t=348116
fa le ge 	發了個	c=6 d=1 t=233023
fa li 	發力	c=7 d=1 t=352578
fa luo fei 	法洛非	c=5 d=1 t=245120
fa lv 	法律	c=11 d=1.00989 t=327614
fa mian 	發麪	c=1 d=1 t=212325
fa nan 	發難	c=1 d=1 t=117240
fa ni 	發你	c=31 d=1.00001 t=347226
fa ni le 	發你了	c=1 d=1 t=291481
fa o ou tu ba li lv 	法哦嘔吐巴黎綠	c=1 d=1 t=122986
fa ou 	發嘔	c=0 d=0.1 t=289076
fa ou wo 	發嘔我	c=2 d=1 t=293347
fa pia 	發啪	c=1 d=1 t=206945
fa pian 	發片	c=1 d=1 t=111110
fa piao 	發票	c=79 d=1 t=346614
fa pu ai 	發鋪哎	c=2 d=1.0256 t=206888
fa qi 	發起	c=22 d=0.1 t=327844
fa qi ding huo 	發起訂貨	c=1 d=1 t=231837
fa qi fang 	發起方	c=1 d=1 t=327845
fa qi ge 	發起個	c=1 d=1 t=312485
fa qi le 	發起了	c=1 d=1 t=115976
fa qi ren 	發起人	c=5 d=1.0002 t=132875
fa qian 	罰錢	c=2 d=1 t=218268
fa qing qiu 	發請求	c=1 d=1 t=303465
fa qu 	發去	c=2 d=1 t=202013
fa qun li 	發羣裏	c=10 d=1 t=350689
fa re 	發熱	c=3 d=1 t=223226
fa ren 	法人	c=70 d=2.86967 t=339107
fa ren bian geng 	法人變更	c=3 d=1 t=218774
fa ren de 	法人的	c=2 d=1 t=73777
fa ren he 	法人和	c=1 d=1 t=218055
fa ren shen fen zheng 	法人身份證	c=1 d=1 t=322800
fa ren xin xi 	法人信息	c=1 d=1 t=185121
fa san 	發散	c=1 d=1 t=32275
fa sao 	發騷	c=1 d=1 t=143319
fa se 	髮色	c=1 d=1 t=326376
fa shang 	發上	c=1 d=1 t=35201
fa shao 	發燒	c=4 d=0.898516 t=245050
fa shao le 	發燒了	c=1 d=1 t=176768
fa shao wang 	發燒王	c=3 d=2.8437 t=245077
fa she 	發射	c=2 d=1.97045 t=107402
fa shen fo 	法身佛	c=0 d=0.1 t=239232
fa sheng 	發生	c=20 d=1 t=304371
fa sheng 	發聲	c=1 d=1 t=186624
fa sheng bian geng 	發生變更	c=1 d=1 t=281439
fa sheng guo 	發生過	c=3 d=1 t=267023
fa sheng le 	發生了	c=2 d=1 t=334080
fa shi 	法師	c=1 d=1 t=342384
fa song 	發送	c=37 d=1 t=350680
fa song gei 	發送給	c=4 d=1 t=251547
fa song liang 	發送量	c=1 d=1 t=142739
fa song shi bai 	發送失敗	c=1 d=1 t=250404
fa song you jian 	發送郵件	c=1 d=1 t=148833
fa wan 	發完	c=3 d=1 t=253310
fa wan le 	發完了	c=3 d=1 t=225172
fa wang 	發往	c=2 d=1 t=227876
fa wei xin 	發微信	c=2 d=1 t=168563
fa wen zi 	發文字	c=1 d=1 t=96563
fa wo 	發我	c=175 d=2.23967 t=352440
fa wo ba 	發我吧	c=3 d=1 t=347159
fa wo de 	發我的	c=1 d=1 t=265206
fa wo ge 	發我個	c=4 d=1 t=281760
fa wo ma 	發我嗎	c=1 d=1 t=224040
fa wo xia 	發我下	c=34 d=1 t=346094
fa wo xia bei 	發我下唄	c=1 d=1 t=3423
fa wo xia ma 	發我下嗎	c=1 d=1 t=321915
fa wu 	法務	c=86 d=1.00001 t=351478
fa wu bu 	法務部	c=1 d=1 t=123145
fa wu fang mian 	法務方面	c=1 d=1 t=224777
fa wu shuo 	法務說	c=1 d=1 t=66152
fa xia 	發下	c=3 d=1.00029 t=188755
